Age_Requirement,Residence_Requirement,Marital_Status ,Gender,Daily_Spend_SM,Most_Used_SM,Frequency_FFA,Strategy,Type_TA,Type_IR,Type_CR,Type_LTO,Influence,State_Trust
Yes,Yes,Single,Male,More than 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Neutral,Neutral
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Daily,Influencer Recommendation,,Content Creators,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Occasionally,Targeted Ads,Video Ads,,,,Agree,Agree
Yes,Yes,Single,Male,1 - 3 hours,Facebook,Daily,Limited-Time Offers or Promotions,,,,Discounts,Agree,Agree
Yes,Yes,Single,Male,1 - 3 hours,Facebook,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Disagree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Daily,Customer Reviews,,,Positive Comments,,Neutral,Neutral
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,YouTube,Daily,Customer Reviews,,,Positive Comments,,Agree,Disagree
Yes,Yes,Single,Female,1 - 3 hours,Facebook,Daily,Other,,,,,Neutral,Neutral
Yes,Yes,Single,Female,4 - 6 hours,YouTube,Daily,Limited-Time Offers or Promotions,,,,Discounts,Agree,Disagree
Yes,Yes,Single,Female,1 - 3 hours,Instagram,Occasionally,Influencer Recommendation,,Food Bloggers,,,Neutral,Neutral
Yes,Yes,Single,Female,1 - 3 hours,Other,Occasionally,Customer Reviews,,,Positive Comments,,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,TikTok,Daily,Influencer Recommendation,,Celebrities,,,Neutral,Neutral
Yes,Yes,Single,Female,4 - 6 hours,Instagram,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Disagree
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Occasionally,Other,,,,,Agree,Neutral
Yes,Yes,Single,Male,1 - 3 hours,Facebook,Daily,Other,,,,,Agree,Neutral
Yes,Yes,Single,Male,More than 6 hours,WhatsApp,Daily,Other,,,,,Agree,Agree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Occasionally,Targeted Ads,Flyers & Banners,,,,Neutral,Neutral
Yes,Yes,Single,Male,1 - 3 hours,YouTube,Occasionally,Targeted Ads,Flyers & Banners,,,,Agree,Agree
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Daily,Influencer Recommendation,,Food Bloggers,,,Disagree,Disagree
Yes,Yes,Single,Male,1 - 3 hours,Facebook,Weekly,Targeted Ads,Flyers & Banners,,,,Agree,Agree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Occasionally,Targeted Ads,Video Ads,,,,Agree,Agree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Targeted Ads,Flyers & Banners,,,,Agree,Agree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Discounts,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,WhatsApp,Daily,Other,,,,,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,Facebook,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Free Delivery,Neutral,Disagree
Yes,Yes,Single,Male,1 - 3 hours,Facebook,Weekly,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Married,Female,Less than 1 hour,Instagram,Occasionally,Influencer Recommendation,,Content Creators,,,Neutral,Agree
Yes,Yes,Single,Female,1 - 3 hours,YouTube,Weekly,Targeted Ads,Video Ads,,,,Agree,Agree
Yes,Yes,Married,Male,1 - 3 hours,Facebook,Daily,Limited-Time Offers or Promotions,,,,Combo Box Offers,Agree,Agree
Yes,Yes,Married,Male,1 - 3 hours,Facebook,Weekly,Targeted Ads,Flyers & Banners,,,,Neutral,Agree
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,Instagram,Occasionally,Targeted Ads,Flyers & Banners,,,,Agree,Agree
Yes,Yes,Single,Female,More than 6 hours,TikTok,Weekly,Influencer Recommendation,,Food Bloggers,,,Agree,Agree
Yes,Yes,Single,Male,More than 6 hours,Facebook,Daily,Influencer Recommendation,,Food Bloggers,,,Neutral,Agree
Yes,Yes,Married,Female,1 - 3 hours,Facebook,Weekly,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Agree
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Weekly,Customer Reviews,,,Positive Comments,,Agree,Agree
Yes,Yes,Single,Female,1 - 3 hours,TikTok,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Married,Female,Less than 1 hour,Instagram,Occasionally,Customer Reviews,,,Friends' Recommendations,,Agree,Agree
Yes,Yes,Single,Male,More than 6 hours,TikTok,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Agree
Yes,Yes,Single,Female,4 - 6 hours,YouTube,Occasionally,Targeted Ads,Video Ads,,,,Agree,Agree
Yes,Yes,Married,Female,1 - 3 hours,Instagram,Occasionally,Targeted Ads,Flyers & Banners,,,,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Weekly,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Agree
Yes,Yes,Married,Male,1 - 3 hours,WhatsApp,Weekly,Limited-Time Offers or Promotions,,,,Combo Box Offers,Agree,Agree
Yes,Yes,Married,Male,4 - 6 hours,YouTube,Occasionally,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Agree
Yes,Yes,Single,Male,More than 6 hours,Facebook,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Agree
Yes,Yes,Single,Female,1 - 3 hours,Facebook,Occasionally,Limited-Time Offers or Promotions,,,,Discounts,Disagree,Disagree
Yes,Yes,Married,Male,4 - 6 hours,Facebook,Weekly,Targeted Ads,Flyers & Banners,,,,Agree,Agree
Yes,Yes,Single,Male,More than 6 hours,Facebook,Daily,Limited-Time Offers or Promotions,,,,Free Delivery,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,Instagram,Occasionally,Other,,,,,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,TikTok,Weekly,Influencer Recommendation,,Content Creators,,,Agree,Agree
Yes,Yes,Single,Female,More than 6 hours,Facebook,Daily,Targeted Ads,Flyers & Banners,,,,Agree,Agree
Yes,Yes,Married,Female,1 - 3 hours,Facebook,Occasionally,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Single,Male,More than 6 hours,Facebook,Daily,Targeted Ads,Video Ads,,,,Agree,Agree
Yes,Yes,Married,Male,Less than 1 hour,YouTube,Weekly,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,Instagram,Occasionally,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Disagree
Yes,Yes,Married,Male,More than 6 hours,Facebook,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Agree
Yes,Yes,Single,Male,1 - 3 hours,TikTok,Weekly,Influencer Recommendation,,Food Bloggers,,,Agree,Agree
Yes,Yes,Single,Female,1 - 3 hours,Instagram,Weekly,Targeted Ads,Video Ads,,,,Agree,Agree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Occasionally,Influencer Recommendation,,Food Bloggers,,,Agree,Agree
Yes,Yes,Single,Female,1 - 3 hours,Facebook,Occasionally,Limited-Time Offers or Promotions,,,,Discounts,Neutral,Neutral
Yes,Yes,Single,Male,4 - 6 hours,TikTok,Weekly,Influencer Recommendation,,Food Bloggers,,,Agree,Agree
Yes,Yes,Single,Female,1 - 3 hours,Facebook,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Married,Male,1 - 3 hours,Facebook,Weekly,Targeted Ads,Video Ads,,,,Neutral,Neutral
Yes,Yes,Single,Male,Less than 1 hour,Facebook,Occasionally,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Married,Female,Less than 1 hour,Instagram,Occasionally,Limited-Time Offers or Promotions,,,,Combo Box Offers,Neutral,Neutral
Yes,Yes,Single,Male,More than 6 hours,Facebook,Daily,Targeted Ads,Video Ads,,,,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,Instagram,Weekly,Limited-Time Offers or Promotions,,,,Discounts,Agree,Neutral
Yes,Yes,Single,Male,1 - 3 hours,WhatsApp,Occasionally,Customer Reviews,,,Positive Comments,,Agree,Neutral
Yes,Yes,Single,Male,More than 6 hours,TikTok,Daily,Targeted Ads,Video Ads,,,,Agree,Disagree
Yes,Yes,Single,Female,4 - 6 hours,TikTok,Daily,Targeted Ads,Flyers & Banners,,,,Neutral,Disagree
Yes,Yes,Single,Male,Less than 1 hour,Facebook,Weekly,Limited-Time Offers or Promotions,,,,Combo Box Offers,Agree,Disagree
Yes,Yes,Married,Female,1 - 3 hours,YouTube,Occasionally,Limited-Time Offers or Promotions,,,,Free Delivery,Agree,Agree
Yes,Yes,Single,Female,1 - 3 hours,YouTube,Weekly,Influencer Recommendation,,Food Bloggers,,,Neutral,Disagree
Yes,Yes,Single,Male,1 - 3 hours,Facebook,Occasionally,Targeted Ads,Flyers & Banners,,,,Agree,Agree
Yes,Yes,Married,Male,4 - 6 hours,YouTube,Weekly,Targeted Ads,Video Ads,,,,Agree,Agree
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Occasionally,Limited-Time Offers or Promotions,,,,Discounts,Neutral,Disagree
Yes,Yes,Single,Male,More than 6 hours,Other,Weekly,Influencer Recommendation,,Food Bloggers,,,Agree,Agree
Yes,Yes,Single,Female,More than 6 hours,YouTube,Daily,Targeted Ads,Flyers & Banners,,,,Agree,Agree
Yes,Yes,Single,Male,4 - 6 hours,Facebook,Occasionally,Targeted Ads,Video Ads,,,,Agree,Agree
Yes,Yes,Married,Female,4 - 6 hours,Instagram,Daily,Targeted Ads,Video Ads,,,,Agree,Agree
Yes,Yes,Married,Male,Less than 1 hour,TikTok,Occasionally,Targeted Ads,Video Ads,,,,Disagree,Disagree
Yes,Yes,Single,Female,Less than 1 hour,YouTube,Weekly,Influencer Recommendation,,Food Bloggers,,,Agree,Agree
Yes,Yes,Married,Male,More than 6 hours,Instagram,Daily,Targeted Ads,Video Ads,,,,Agree,Disagree
Yes,Yes,Single,Female,1 - 3 hours,Facebook,Weekly,Targeted Ads,Flyers & Banners,,,,Agree,Neutral
